orcid;author
11594;Anna Bernasconi 0001
11595;Igor E. Shparlinski
11596;Le Dung Muu
11597;Kasyap Natarajan
11598;Hubertus Th. Jongen
11599;Oliver Stein
11600;M. Nast
11601;Lothar Breuer
11602;Hannes Frey
11603;Johannes K. Lehnert
11604;Daniel Görgen
11605;Peter Sturm 0001
11606;Patrick Reuther
11607;E. Levitin
11608;Jürgen Huschens
11609;Marco Fahl
11610;Andreas Neumann 0001
11611;Randal E. Bryant
11612;Subhendu Bikash Hazra
11613;Volker Schulz 0001
11614;Elena Dubrova
11615;Horst Schmitt
11616;Peter Willems
11617;Igor N. Kovalenko
11618;R. J. Gardner
11619;Dieter Prangenberg
11620;János Sztrik
11621;Oliver Möller
11622;Ulrich Hertrampf
11623;Thomas Burger
11624;Jochen Bern
11625;Heidi Jäger
11626;Thomas Erlebach
11627;Flemming Nielson
11628;Gurami Tsitsiashvili
11629;Patrick Justen
11630;Klaus Schwettmann
11631;Ulrich Raber
11632;Fabio Somenzi
11633;Thorsten Theobald
11634;Abdelouahed Hamdi
11635;Attahiru Sule Alfa
11636;Siegfried Graf
11637;Jens Hofmann 0001
11638;Norbert Th. Müller
11639;Jan-J. Rückmann
11640;Volker Klotz
11641;Dimitri Efrosinin
11642;Vladimir Rykov
11643;Hans L. Bodlaender
11644;Gerhard J. Woeginger
11645;Michael Ruvimovich Davidson
11646;Stephan Waack
11647;Holger Class
11648;Rainer Helmig
11649;Katja Lenz
11650;Alexander Hufnagel
11651;David G. Larman
11652;D. Kleis
11653;Petra Scheffler
11654;Stasys Jukna
11655;Mikail Gevantmakher
11656;Tankred Rautert
11657;Luciano Lenzini
11658;S. Rotin
11659;Dirk Frosch
11660;Craig Smith
11661;Vladimir V. Kalashnikov
11662;N. Lehdili
11663;C. Ould Ahmed Salem
11664;Matthias Krause 0001
11665;Andreas Brieden
11666;Marco Gilbert
11667;Lars Abbe
11668;Sebastian Maneth
11669;Thomas Perst
11670;Helmut Finner
11671;Markus Roters
11672;Jirí Sgall
11673;M. A. Osipova
11674;N. V. Koliev
11675;Oleg V. Khamisov
11676;Markus Holzer 0001
11677;Varmo Vene
11678;Markus Müller-Olm
11679;Feng Cheng 0002
11680;Paul Ferring
11681;Martin Luckow
11682;Dirk Frosch-Wilke
11683;Judy Goldsmith
11684;Christopher Lusena
11685;Eric Allender
11686;Rainer Hettich
11687;Matthias Transier
11688;Wolfgang Effelsberg
11689;Aditya V. Nori
11690;Anthony J. Hayter
11691;Joachim Reiter
11692;Rustam Mubarakzjanov
11693;Ulrich Holtmann
11694;C. T. Kelley
11695;Peter Rossmanith
11696;Michael Schmitt 0002
11697;Gianpiero Cabodi
11698;Stefano Quer
11699;Ditmar Erdmann
11700;Volker Schmidt
11701;Peter Dierolf
11702;Paul B. Hermanns
11703;Markus R. Schmidt
11704;Clemens Lautemann
11705;Thomas Schwentick
11706;Heribert Vollmer
11707;Klaus W. Wagner
11708;B. S. Tam
11709;Jacques Wainer
11710;Michael Eckmann
11711;Siome Goldenstein
11712;Anderson Rocha 0001
11713;Arnon Rosenthal
11714;Roy T. Fielding
11715;Henrik Frystyk Nielsen
11716;Tim Berners-Lee
11717;Alin Deutsch
11718;Mary F. Fernandez
11719;Daniela Florescu
11720;Alon Y. Levy
11721;Dan Suciu
11722;Robin Cover
11723;C. J. Date 0001
11724;Rita Ley
11725;Markus Casper
11726;Hugo Hellebrand
11727;Ralf Merz
11728;John Lions
11729;Patrick A. V. Hall
11730;Markus Tresch
11731;Gayane Grigoryan
11732;Oliver Gronz
11733;Oliver Gutjahr
11734;Günther Heinemann
11735;Andreas Rock
11736;Stephan Vollmer
11737;Vanessa C. Klaas
11738;Kurt P. Brown
11739;Tolga Yurek
11740;Oliver Hoffmann 0002
11741;Bir Bhanu
11742;Marijke De Soete
11743;Chen-Mou Cheng
11744;Shucheng Yu
11745;Wenjing Lou
11746;Kui Ren 0001
11747;Carlisle Adams
11748;Alex Biryukov
11749;Gerrit Bleumer
11750;Carl M. Ellison
11751;David Naccache
11752;Dan Boneh
11753;Burt Kaliski
11754;Burton S. Kaliski Jr.
11755;Friedrich L. Bauer
11756;Peter Landrock
11757;Lars R. Knudsen
11758;Stan Z. Li
11759;Sean W. Smith
11760;Brian Wongchaowart
11761;Adam J. Lee
11762;Yvo Desmedt
11763;Berry Schoenmakers
11764;Anne Canteaut
11765;Nicolas Sendrier
11766;Adi Shamir
11767;Eran Tromer
11768;Christophe De Cannière
11769;Catherine A. Meadows
11770;Pierangela Samarati
11771;Angelika Plate
11772;Clemens Heinrich
11773;Stefan Köpsell
11774;Kazue Sako
11775;Bodo Möller
11776;Ninghui Li
11777;Tanja Lange 0001
11778;Arun Ross
11779;Jim Alves-Foss
11780;Ran Canetti
11781;Cristina Nita-Rotaru
11782;Reza Curtmola
11783;Bart Preneel
11784;Alessandro Campi
11785;Kim Nguyen
11786;William Whyte
11787;Caroline Fontaine
11788;Gerald Brose
11789;Matthias Schunter
11790;Eric Cronin
11791;Markus Kuhn
11792;Mary Ellen Zurko
11793;Richard T. Simon
11794;Sabrina De Capitani di Vimercati
11795;Helena Handschuh
11796;Berk Sunar
11797;Scott A. Crosby
11798;Dan S. Wallach
11799;Christian Cachin
11800;Mary J. Culnan
11801;Vijay Alturi
11802;Antoon Bosselaers
11803;Claude Carlet
11804;Scott Contini
11805;Salvatore J. Stolfo
11806;Brian M. Bowen
11807;Malek Ben Salem 0001
11808;Jonas Richiardi
11809;Krzysztof Kryszczuk
11810;Marc Joye
11811;Francis Olivier
11812;J. Black
11813;Mitchell A. Thornton
11814;Torben P. Pedersen
11815;Nary Subramanian
11816;Marco Bucci
11817;Anton Stiglic
11818;Phong Q. Nguyen
11819;Christophe Petit
11820;Jean-Jacques Quisquater
11821;Robert J. Zuccherato
11822;Salil P. Vadhan
11823;Marc Vauclair
11824;Darrel Hankerson
11825;Alfred Menezes
11826;Tom Caddy
11827;Radu Sion
11828;Yevgeniy Dodis
11829;XiaoFeng Wang 0001
11830;Ernst M. Gabidulin
11831;Emmanuel Thomé
11832;Torben Pedersen
11833;Trent Jaeger
11834;François Morain
11835;G. R. Blakley
11836;Gregory A. Kabatiansky
11837;Matthew K. Franklin
11838;Tor Helleseth
11839;Ruggero Donida Labati
11840;Fabio Scotti
11841;Robert Silverman
11842;Dalit Naor
11843;Tae Hwan Oh
11844;Shinyoung Lim
11845;Young B. Choi
11846;Jungwoo Ryoo
11847;Tim Güneysu
11848;Svetlana N. Yanushkevich
11849;Denis V. Popel
11850;Saeed Abu-Nimeh
11851;Assia Tria
11852;Hamid Choukri
11853;David Samyde
11854;Brent ByungHoon Kang
11855;Greg Sinclair
11856;Anurag Srivastava
11857;Paulo S. L. M. Barreto
11858;Vincent Rijmen
11859;Moses D. Liskov
11860;Nicholas C. Weaver
11861;Wensheng Zhang 0001
11862;Henk C. A. van Tilborg
11863;Kar-Ann Toh
11864;Andrew Beng Jin Teoh
11865;Robert Blakley 0001
11866;Jean-Louis Lanet
11867;V. N. Venkatakrishnan
11868;Claudio Bettini
11869;Ehab Al-Shaer
11870;Anil K. Jain 0001
11871;Angelos Stavrou
11872;Graham Steel
11873;Ebru Celikel Cankaya
11874;Nicky Mouha
11875;Jorge Guajardo
11876;Lorrie Faith Cranor
11877;Miles E. Smid
11878;Marco Gruteser
11879;Roberto Avanzi
11880;Nicolas Thériault
11881;Steve Lloyd
11882;Xiaokui Xiao
11883;Patrick D. McDaniel
11884;Collin Jackson
11885;Kun Sun 0001
11886;Peng Ning
11887;Claudio A. Ardagna
11888;Kaoru Kurosawa
11889;Martin Gagné
11890;Fabien A. P. Petitcolas
11891;Qiushi Yang
11892;Dario V. Forte
11893;Dwight Horne
11894;Mike Just
11895;Ben J. M. Smeets
11896;Jerome A. Solinas
11897;Paul England
11898;François Koeune
11899;Donggang Liu
11900;Hakan Hacigümüs
11901;Bijit Hore
11902;Sharad Mehrotra
11903;Claude Crépeau
11904;Yi Yang 0002
11905;Sencun Zhu
11906;David F. Ferraiolo
11907;Michalis Polychronakis
11908;Pascale Charpin
11909;Niels Provos
11910;Josep Domingo-Ferrer
11911;Soma Biswas
11912;Rama Chellappa
11913;Srdjan Capkun
11914;Joe Pato
11915;Laurent Sustek
11916;B. V. K. Vijaya Kumar
11917;Sara Foresti
11918;Guido Salvaneschi
11919;Paolo Salvaneschi
11920;Alexander Kruppa
11921;Paul Leyland
11922;Michael Ward
11923;Olivier Benoît
11924;Jeffrey J. Wiley
11925;Gerardo Pelosi
11926;Christiane Peters
11927;Glenn Durfee
11928;Mohamed Omar Rayes
11929;Christof Paar
11930;Guofei Gu
11931;Michael E. Locasto
11932;Ann Cavoukian
11933;Alex Stoianov
11934;Mike Burmester
11935;François-Xavier Standaert
11936;Jing Dong 0006
11937;Mehdi Tibouchi
11938;André Weimerskirch
11939;William Enck
11940;Scott E. Coull
11941;Achint Thomas
11942;Venu Govindaraju
11943;Mihai Christodorescu
11944;Vinod Ganapathy
11945;Russ Housley
11946;Sean Turner
11947;Michael J. Wiener
11948;Daniel J. Bernstein
11949;Gilles Brassard
11950;Pavan Verma
11951;Matthew J. B. Robshaw
11952;Thomas Morris
11953;Patrizio Campisi
11954;Emanuele Maiorana
11955;Alessandro Neri 0001
11956;Debbie Cook
11957;Edlyn Teske
11958;David Pointcheval
11959;Jörg Schwenk
11960;William D. Casper
11961;Stephen M. Papa
11962;Arkadiusz Orlowski
11963;Sangwon Hyun
11964;Martin Johns
11965;Wenyuan Xu
11966;Alexander Barg
11967;Daniel Gordon
11968;Arjen K. Lenstra
11969;Jonathan K. Millen
11970;Sebastiaan Indesteege
11971;Günther Pernul
11972;Moritz Riesner
11973;Paul Zimmermann
11974;Ernesto Damiani
11975;Andrew Clark
11976;Keith B. Frikken
11977;Michael T. Hunter
11978;Çetin Kaya Koç
11979;David Zhang 0001
11980;Feng Yue
11981;Wangmeng Zuo
11982;Frédérique Biennier
11983;Scott A. Rotondo
11984;Kristen LeFevre
11985;Bee-Chung Chen
11986;Sharon Boeyen
11987;Daniele Micciancio
11988;Elisa Gorla
11989;Serge Fenet
11990;Giovanni Livraga
11991;Lee D. McFearin
11992;Daniel M. Gordon
11993;Qijun Gu
11994;Louis Goubin
11995;Jacques Patarin
11996;Bo-Yin Yang
11997;Stefano Paraboschi
11998;Angelos D. Keromytis
11999;Ronald L. Rivest
12000;Nadia Heninger
12001;Cynthia Dwork
12002;Italo Dacosta
12003;Colin D. Walter
12004;William Stallings
12005;Elisabeth de Leeuw
12006;Matthieu Finiasz
12007;"Jung-Min ""Jerry"" Park"
12008;Kaigui Bian
12009;Hideki Imai
12010;Atsuhiro Yamagishi
12011;Frédéric Cuppens
12012;Nora Cuppens-Boulahia
12013;Benoît Libert
12014;Guohong Cao
12015;Zhichao Zhu
12016;Jeffrey Hoffstein
12017;Stuart Haber
12018;Henri Massias
12019;Pascal Paillier
12020;David Challener
12021;Kerstin Lemke
12022;Ming Li 0003
12023;Evangelia Micheli-Tzanakou
12024;Konstantinos N. Plataniotis
12025;Vivek Kanhangad
12026;Gregor Leander
12027;Eli Biham
12028;Edward Sciore
12029;Alessandro Orso
12030;Benny Pinkas
12031;Goce Jakimoski
12032;Ali Bagherzandi
12033;Anita Ochieano
12034;Bryan D. Payne
12035;Thomas Eisenbarth 0001
12036;Timo Kasper
12037;Panos Papadimitratos
12038;Jean-Pierre Hubaux
12039;Russell Housley
12040;Brecht Wyseur
12041;Alexander W. Dent
12042;Scott D. Stoller
12043;Aaron Estes
12044;Alan D. Smith
12045;David A. McGrew
12046;Martin Evison
