:START_ID;:END_ID
8124848;12653936
8515540;12653936
95;12653936
8790170;12653937
8787404;12653937
7404916;12653937
95;12653937
8789872;12653938
7399425;12653938
95;12653938
7903819;12653939
6877165;12653939
6877239;12653939
95;12653939
6877196;12653940
95;12653940
110;12653941
3046758;12653942
8028519;12653942
9109447;12653942
8878697;12653942
142;12653942
7805742;12653942
6816724;12653942
6381013;12653942
6378614;12653942
8028340;12653942
8933077;12653942
8706841;12653942
6816251;12653942
8933077;12653943
142;12653943
8915074;12653944
8933077;12653944
142;12653944
6816518;12653944
461;12653945
7116014;12653945
6867453;12653946
461;12653946
7116014;12653946
461;12653947
7116014;12653947
554;12653948
7252750;12653949
559;12653949
561;12653950
562;12653950
564;12653950
559;12653950
561;12653951
562;12653951
564;12653951
561;12653952
7264828;12653952
9345693;12653952
7252645;12653953
7264838;12653953
6382214;12653953
561;12653953
565;12653953
561;12653954
562;12653955
564;12653955
565;12653955
9138818;12653956
9075886;12653956
562;12653956
564;12653956
8412470;12653956
6381847;12653956
8412798;12653956
565;12653957
565;12653958
7212515;12653959
7212461;12653959
7212529;12653959
565;12653959
7212470;12653959
8830508;12653960
7988301;12653960
8051405;12653960
6215153;12653960
6948018;12653960
6380050;12653960
7653682;12653960
565;12653960
569;12653961
746;12653962
742;12653962
7083139;12653963
8704131;12653963
3038981;12653963
13702;12653963
7338503;12653963
7892486;12653963
6869641;12653963
7338250;12653963
7891723;12653963
7338252;12653963
3070735;12653963
3076623;12653963
3039125;12653963
9000092;12653963
9000093;12653963
3078942;12653963
7892254;12653963
3039011;12653963
6348708;12653963
6345381;12653963
6498595;12653963
9008679;12653963
3039024;12653963
7998132;12653963
7190328;12653963
3028540;12653963
3072702;12653963
7891646;12653963
7191878;12653963
3038920;12653963
3076045;12653963
7083085;12653963
2576335;12653963
7741901;12653963
8704847;12653963
7471316;12653963
3085910;12653963
7891677;12653963
8704222;12653963
6379361;12653963
9000035;12653963
9275236;12653963
746;12653963
3084010;12653963
6347504;12653963
6498544;12653963
7555057;12653963
8703862;12653963
6498041;12653963
6347386;12653963
6856445;12653963
3028094;12653963
2240;12653964
2240;12653965
2240;12653966
3079909;12653966
7975655;12653966
8887817;12653966
7354128;12653966
8887543;12653966
7972762;12653966
8887709;12653966
8680195;12653967
8032261;12653967
8680197;12653967
6545546;12653967
8032148;12653967
8907038;12653967
3052325;12653967
8031413;12653967
8680249;12653967
8680126;12653967
8680131;12653967
3038662;12653967
9112774;12653967
7870154;12653967
9145419;12653967
8031824;12653967
9145680;12653967
9228373;12653967
3043163;12653967
8032352;12653967
8680166;12653967
2293;12653967
8032375;12653967
2293;12653968
6206566;12653969
8032046;12653969
9145711;12653969
8031824;12653969
8032658;12653969
2293;12653969
9145717;12653969
2293;12653970
6330812;12653971
2293;12653971
2293;12653972
2293;12653973
9145637;12653974
9145784;12653974
9145897;12653974
9145419;12653974
9145675;12653974
9145680;12653974
9145649;12653974
2293;12653974
8737176;12653974
3043163;12653974
9145599;12653974
8029027;12653975
3051526;12653975
3075495;12653975
4041;12653975
13516;12653975
3054575;12653975
7377;12653975
3079633;12653975
7607;12653975
2333;12653975
7537380;12653976
3062761;12653976
7542684;12653976
2348;12653976
7335951;12653976
8900559;12653976
8270357;12653976
6874844;12653976
6363197;12653976
8406144;12653977
8406153;12653977
6640362;12653977
8109098;12653977
2348;12653977
8406155;12653977
9362032;12653977
7870353;12653977
3047121;12653977
8540566;12653977
9355997;12653977
2441;12653978
2485;12653979
2485;12653980
2571;12653981
8156099;12653982
3079497;12653982
2637;12653982
3076174;12653982
8156688;12653982
8155838;12653982
2984;12653983
8772705;12653983
8238822;12653983
3474;12653984
3474;12653985
3818;12653986
6362636;12653986
4115;12653987
3083682;12653988
4413;12653988
6333358;12653988
7930005;12653988
4445;12653989
4517;12653990
6431369;12653990
9308907;12653990
6505900;12653990
7059834;12653990
4517;12653991
8098726;12653991
4517;12653992
3072135;12653992
7557297;12653992
3052695;12653992
3027900;12653992
4559;12653993
3062563;12653994
6759860;12653994
7243500;12653994
4559;12653994
6740992;12653995
6759389;12653995
4559;12653995
6759661;12653996
4559;12653996
8725569;12653997
6353378;12653997
4611;12653997
7079653;12653997
6355050;12653997
7721939;12653997
6207101;12653997
4611;12653998
8869637;12653998
7862154;12653998
8628940;12653998
9090605;12653998
6354865;12653998
7463252;12653998
8869976;12653998
7006074;12653998
7006203;12653998
8870530;12653999
4611;12653999
6353001;12653999
6348429;12653999
7005294;12653999
6381396;12653999
6354809;12653999
4611;12654000
8721059;12654000
6354792;12654000
6302410;12654000
8234516;12654000
7109463;12654000
7722044;12654001
4622;12654001
7153056;12654002
4622;12654002
4697;12654003
4697;12654004
4882;12654005
5532;12654006
3074829;12654006
3046311;12654006
8116353;12654007
3046311;12654007
18121;12654007
3074829;12654007
13935;12654007
6341908;12654007
8116664;12654007
5532;12654007
5662;12654008
5662;12654009
5662;12654010
7827906;12654011
7930920;12654011
8126571;12654011
7828430;12654011
8380975;12654011
7930707;12654011
5782;12654011
7931158;12654011
5823;12654012
8597985;12654013
7862278;12654013
7516631;12654013
7118494;12654013
5823;12654013
6339;12654014
5823;12654014
6284161;12654015
9143004;12654015
8303048;12654015
6760266;12654015
7249835;12654015
8302858;12654015
9331250;12654015
5875;12654015
7767479;12654015
7687225;12654015
7484540;12654015
8302207;12654015
7687225;12654016
5875;12654016
8323647;12654016
5915;12654017
9293920;12654018
8889510;12654018
6370312;12654018
6371211;12654018
8889266;12654018
8889624;12654018
5915;12654018
5958;12654019
9098327;12654019
9101045;12654020
5958;12654020
9098327;12654020
5958;12654021
5958;12654022
9098327;12654022
5979;12654023
3065244;12654023
5979;12654024
3065244;12654024
3065316;12654025
3063271;12654025
3063273;12654025
6591914;12654025
6041;12654025
6145;12654026
6168;12654027
6168;12654028
9032898;12654029
6178;12654029
7487254;12654029
7487751;12654029
6178;12654030
6293;12654030
7487906;12654031
6178;12654031
9178859;12654031
7487549;12654031
6191;12654032
6191;12654033
6286083;12654034
6308806;12654034
6888423;12654034
9013748;12654034
6293;12654034
7886007;12654034
6604378;12654034
7885854;12654034
7885919;12654034
6406;12654035
7722240;12654036
7388420;12654036
8608140;12654036
8995980;12654036
8046479;12654036
8608272;12654036
8360500;12654036
6634997;12654036
8607997;12654036
8607961;12654036
7721757;12654036
6431;12654036
7516932;12654037
8650533;12654037
6431;12654037
8744949;12654037
7654655;12654037
7497291;12654038
6452;12654038
8735042;12654039
9246755;12654039
6809413;12654039
6506;12654039
6809418;12654039
7824429;12654039
6809742;12654039
6809807;12654039
6809841;12654039
9246770;12654039
3078742;12654039
6809686;12654039
8734969;12654039
6809594;12654039
7824608;12654040
7719045;12654040
7719079;12654040
6506;12654040
7824429;12654040
7719442;12654040
7824469;12654040
7824287;12654040
7824285;12654040
6261503;12654040
6506;12654041
7719442;12654041
8302915;12654042
8303048;12654042
8302956;12654042
8302957;12654042
8302897;12654042
8303346;12654042
8890066;12654042
9054098;12654042
3068821;12654042
6582;12654042
8302070;12654042
8303705;12654042
8303610;12654042
7134459;12654042
7193692;12654042
7860413;12654042
7557790;12654042
7102976;12654043
9239041;12654043
9240834;12654043
9087076;12654043
9235365;12654043
6828201;12654043
