:ID;cite:string
12705400;books/acm/Kim95
12705401;conf/cikm/OzcanNKED96
12705402;books/ph/Salzberg88
12705403;conf/icdt/SalzaBM95
12705404;conf/lpar/BryMM91
12705405;books/mg/CeriP84
12705406;conf/vldb/CeriW90
12705407;conf/pods/GuptaSUW94
12705408;conf/vldb/KowalskiSS87
12705409;journals/jlp/LloydST87
12705410;journals/acta/Nicolas82
12705411;books/ph/OzsuV91
12705412;books/cs/Ullman88
12705413;books/cs/Ullman89
12705414;conf/edbt/BarbaraGP90
12705415;conf/sigir/BuckleyL85
12705416;journals/jcss/ChandraH80
12705417;conf/sigir/CroftST92
12705418;conf/sigir/DeFazioDSSCC95
12705419;books/mk/Elmagarmid92
12705420;conf/vldb/Fuhr90
12705421;conf/sigir/Fuhr92
12705422;journals/tods/Garcia-Molina83
12705423;books/mk/GrayR93
12705424;journals/cj/HarperW92
12705425;conf/sigir/MittendorfS94
12705426;conf/sigir/Persin94
12705427;conf/sigir/Schauble93
12705428;conf/pdis/TomasicG93
12705429;books/bu/Rijsbergen79
12705430;journals/tkde/AgrawalIS93
12705431;conf/icde/AgrawalS95
12705432;journals/tcs/AlurD94
12705433;journals/tkde/BettiniWJL98
12705434;conf/kdd/MannilaTV95
12705435;journals/tods/WangBBJ97
12705436;conf/sigmod/WangCMSSZ94
12705437;conf/sigir/Allen94
12705438;journals/debu/Faloutsos95
12705439;journals/tois/FuhrR97
12705440;conf/him/Fuhr95
12705441;conf/sigir/Fuhr95
12705442;conf/cikm/Fuhr96
12705443;journals/sigmod/Loeffen94
12705444;journals/computer/MeghiniRT91
12705445;journals/cj/Rijsbergen86
12705446;conf/vldb/SchekP82
12705447;journals/is/SchekS86
12705448;journals/tods/MohanHLPS92
12705449;conf/vldb/Mohan90a
12705450;conf/sigmod/Mohan93
12705451;conf/edbt/MohanH94
12705452;conf/sigmod/MohanL92
12705453;conf/podc/MohanL83
12705454;journals/tods/MohanLO86
12705455;conf/icde/SamarasBCM93
12705456;conf/sigmod/AgrawalIS93
12705457;conf/vldb/AgrawalS94
12705458;conf/dmkd/HanKKM97
12705459;books/cu/MotwaniR95
12705460;conf/vldb/NgH94
12705461;books/mk/Quinlan93
12705462;conf/sigmod/ZhangRL96
12705463;conf/aaai/Fisher87
12705464;conf/kdd/Fisher95
12705465;conf/sigmod/DayalGHKS93
12705466;conf/sigmod/Garcia-MolinaS87
12705467;conf/vldb/AgarwalADGNRS96
12705468;journals/sigmod/Colliat96
12705469;conf/icde/GrayBLP96
12705470;journals/vldb/Guting94
12705471;conf/sigmod/HarinarayanRU96
12705472;conf/sigmod/Jagadish90
12705473;journals/tods/LometS90
12705474;journals/sigmod/ONeilG95
12705475;conf/icde/SarawagiS94
12705476;conf/sigmod/HellersteinS93
12705477;conf/sigmod/PattersonGK88
12705478;journals/tocs/RosenblumO92
12705479;journals/tkde/StonebrakerRH90
12705480;journals/cacm/StonebrakerK91
12705481;conf/icde/StonebrakerO93
12705482;conf/sigmod/StonebrakerFGM93
12705483;journals/tods/AstrahanBCEGGKLMMPTWW76
12705484;journals/ibmrd/ChamberlinAEGLMRW76
12705485;journals/cacm/Codd70
12705486;journals/tkde/HaasCLMWLLPCS90
12705487;books/sp/kimrb85/LohmanMHDLSW85
12705488;journals/tods/CeriFPT94
12705489;journals/debu/CeriFPT92
12705490;conf/vldb/GehaniJ91
12705491;conf/vldb/WidomCL91
12705492;conf/pods/Chomicki92
12705493;journals/tods/Chomicki95
12705494;conf/pods/ChomickiN93
12705495;conf/sigmod/GehaniJS92
12705496;books/bc/TanselCGJSS93
12705497;conf/ride/TomanC94
12705498;conf/vldb/BeeriM91
12705499;journals/dke/ChakravarthyM94
12705500;conf/vldb/DiazPG91
12705501;conf/pos/Buchmann90
12705502;books/mk/elmagarmid92/BuchmannOGM92
12705503;conf/vldb/ChrysanthisR91
12705504;conf/oodbs/DayalBM88
12705505;journals/ijcis/ManolaHGHB92
12705506;books/aw/BertinoM93
12705507;journals/cacm/ButterworthOS91
12705508;conf/ride/BusslerJ94
12705509;conf/ifip/EngelsK94
12705510;journals/tois/GottlobSR96
12705511;conf/isooms/KappelRR94
12705512;conf/sigmod/AcharyaAFZ95
12705513;conf/icde/AcharyaFZ96
12705514;conf/vldb/AcharyaFZ96
12705515;journals/pe/AmmarW85
12705516;conf/icde/BaruahB97
12705517;journals/cacm/BowenGHHLMRW92
12705518;journals/cacm/Gifford90
12705519;conf/sigmod/HermanGLW87
12705520;conf/sigmod/ImielinskiVB94
12705521;conf/sosp/OkiPSS93
12705522;conf/vldb/AnsariNRS92
12705523;conf/vldb/AttieSSR93
12705524;conf/vldb/DayalHL91
12705525;conf/vldb/ElmagarmidLLR90
12705526;conf/ride/GeorgakopoulosHK93
12705527;conf/sigmod/JinRNS93
12705528;books/mk/elmagarmid92/ShethRK92
12705529;books/mk/elmagarmid92/WachterR92
12705530;conf/sigmod/BlakeleyLT86
12705531;conf/vldb/ChouD85
12705532;journals/is/Christodoulakis83
12705533;conf/vldb/ChenR93a
12705534;conf/sigmod/ChenR94
12705535;conf/edbt/ChenR94a
12705536;conf/vldb/DelisR92
12705537;journals/tse/DelisR93
12705538;conf/icdcs/DelisR94
12705539;conf/vldb/FranklinCL92
12705540;conf/sigmod/Finkelstein82
12705541;conf/vldb/FaloutsosNS91
12705542;conf/pods/HouOT88
12705543;conf/vldb/Ioannidis93
12705544;conf/vldb/LarsonY85
12705545;conf/sigmod/MuralikrishnaD88
12705546;conf/sigmod/NgFS91
12705547;conf/sigmod/Piatetsky-ShapiroC84
12705548;journals/sigmod/RoussopoulosD91
12705549;journals/tkde/RoussopoulosES93
12705550;conf/vldb/RosenkrantzH80
12705551;journals/computer/RoussopoulosK86
12705552;conf/vldb/RoussopoulosK86
12705553;conf/sigmod/RoussopoulosL85
12705554;journals/tse/Roussopoulos82
12705555;journals/tods/Roussopoulos91
12705556;conf/sigmod/SunKN89
12705557;conf/sigmod/SuLRD93
12705558;journals/is/TompaB88
12705559;journals/is/JensenS96
12705560;conf/ssdbm/RamakrishnanDRBK98
12705561;books/ph/Shasha92
12705562;conf/sigmod/Shasha97
12705563;books/kl/Snodgrass95
12705564;conf/icde/BanerjeeK86
12705565;journals/cacm/Bentley75
12705566;conf/icde/BlankenIMA90
12705567;conf/sigmod/BeckmannKSS90
12705568;conf/icde/FaloutsosR91
12705569;conf/sigmod/Freeston87
12705570;conf/icde/Greene89
12705571;journals/sigmod/GuntherB90
12705572;conf/sigmod/Guttman84
12705573;conf/edbt/HutfleszSW88
12705574;conf/vldb/HenrichSW89
12705575;conf/sigmod/HoelS92
12705576;conf/icde/HutfleszSW90
12705577;conf/icde/LometS89
12705578;journals/tods/NievergeltHS84
12705579;conf/icde/OhsawaS90
12705580;journals/is/OoiSM91
12705581;conf/sigmod/Orenstein86
12705582;conf/ssd/PagelST93
12705583;conf/sigmod/Robinson81
12705584;conf/vldb/SeegerK88
12705585;conf/vldb/SeegerK90
12705586;conf/vldb/SellisRF87
12705587;conf/icde/SixW88
12705588;conf/sigmod/Tamminen82
12705589;conf/dasfaa/WhangK91
12705590;journals/tkde/ApersBFGKW92
12705591;conf/ecoop/BalstersBZ93
12705592;conf/dbpl/BalstersV91
12705593;conf/dpds/GrefenA90
12705594;conf/dexa/GrefenA91
12705595;conf/dexa/GrefenFA92
12705596;conf/vldb/Grefen93
12705597;conf/icde/GrefenB94
12705598;journals/tods/SheardS89
12705599;conf/sigmod/BorrP88
12705600;conf/vldb/DeWittG85
12705601;conf/sigmod/SchneiderD89
12705602;conf/hpts/Group87
12705603;conf/sigmod/Group88
12705604;conf/vldb/ZellerG90
12705605;books/mk/Stonebraker94
12705606;conf/sigmod/LometS89
12705607;conf/vldb/Stonebraker87
12705608;conf/sosp/Svobodova81
12705609;conf/icde/AryaCFRT94
12705610;journals/computer/FuchsLP89
12705611;conf/vldb/LehmanL89
12705612;journals/computer/NarasimhaluC91
12705613;conf/spieSR/NiblackBEFGPYFT93
12705614;conf/sigmod/Orenstein89
12705615;conf/oodbs/SchwarzCFLMMP86
12705616;journals/cacm/SilberschatzSU91
12705617;journals/tse/Bentley79
12705618;conf/ssd/Lomet91
12705619;conf/sigmod/LometS92
12705620;conf/pods/OrensteinM84
12705621;conf/ssdbm/CushingMRDF92
12705622;conf/icdt/Abiteboul97
12705623;conf/icdt/AbiteboulCM97
12705624;conf/sigmod/BunemanDHS96
12705625;conf/ride/CareyHSACFFLNPTWW95
12705626;conf/ipsj/ChawatheGHPUW94
12705627;conf/sigmod/CluetDSS98
12705628;conf/vldb/LevyRO96
12705629;conf/vldb/MiloZ98
12705630;journals/tods/BittonBDW83
12705631;journals/cacm/ChamberlinABGKLLMPPSSSTWY81
12705632;conf/pdis/DeWittNB93
12705633;conf/sigmod/DerrMP93
12705634;conf/sigmod/GanskiW87
12705635;conf/sigmod/GraefeD87
12705636;journals/csur/Graefe93
12705637;journals/tods/Kim82
12705638;phd/Kooi80
12705639;conf/dpds/PiraheshMCLS90
12705640;journals/sigmod/ScholermanMTTZ93
12705641;journals/cacm/Stonebraker81
12705642;journals/sigmod/Stonebraker89
12705643;conf/icde/SwamiI93
12705644;conf/sigmod/MohanN92
12705645;conf/icde/RobinsonF94
12705646;journals/csur/SockutG79
12705647;conf/sigmod/BanerjeeKKK87
12705648;books/aw/kimL89/BretlMOPSSWW89
12705649;books/mk/Cattell97
12705650;conf/cikm/ClaypoolJR98
12705651;conf/widm/ClaypoolRCK98
12705652;conf/icde/DavidsonK97
12705653;journals/computer/Meyer92
12705654;conf/sigmod/RundensteinerCLCZNJLW99
12705655;books/mk/bancilhonDK92/Zicari92
12705656;journals/csur/Heiler95
12705657;journals/sigmod/VentroneH91
12705658;journals/cacm/NingEK94
12705659;conf/vldb/BernsteinBC80
12705660;conf/aaai/Dalal92
12705661;conf/sigmod/GuptaW93
12705662;conf/adbt/HenschenMN82
12705663;journals/cacm/Hoare69
12705664;conf/sigmod/HsuI85
12705665;journals/jacm/McCuneH89
12705666;conf/adbt/Paige82
12705667;conf/icde/Qian88
12705668;journals/ipl/Qian90
12705669;conf/sigmod/StempleMS87
12705670;conf/sigmod/AdaliCPS96
12705671;books/mk/Cattell96
12705672;conf/sigmod/ChaudhuriG96
12705673;conf/sigmod/Lohman88
12705674;conf/cikm/LiuP95
12705675;conf/pdis/PapakonstantinouGH96
12705676;conf/icde/PapakonstantinouGW95
12705677;conf/icde/Qian96
12705678;conf/icdcs/TomasicRV96
12705679;conf/sigmod/AcharyaGPR99a
12705680;conf/sigmod/ChaudhuriMN98
12705681;conf/sigmod/ChaudhuriMN99
12705682;conf/sigmod/GangulyGMS96
12705683;conf/pods/HaasNS94
12705684;conf/vldb/HaasNSS95
12705685;conf/sigmod/HellersteinHW97
12705686;conf/sigmod/HouOD91
12705687;journals/tcs/LiptonNSS93
12705688;conf/icdt/NaughtonS90
12705689;conf/vldb/OlkenR86
12705690;phd/Olken93
12705691;conf/pods/ChenW89
12705692;conf/sigmod/KiferL89
12705693;journals/jacm/KiferLW95
12705694;conf/lics/KiferW91
12705695;conf/pods/KiferW89
12705696;journals/jcss/KiferW93
12705697;conf/pods/KuperV84
12705698;conf/mfcs/Pawlak73
12705699;journals/tcs/MarekP76
12705700;journals/epodd/AbererBH93
12705701;journals/jucs/AndrewsKM95
12705702;conf/dood/AtkinsonBDDMZ89
12705703;conf/dl/BohmAN94
12705704;conf/sigir/Callan94
12705705;conf/edbt/CroftT92
12705706;journals/ipm/DunlopR93
12705707;conf/sigir/HearstP93
12705708;conf/sigir/SaltonAB93
12705709;journals/epodd/SullowGOPR93
12705710;conf/icde/VolzAB96
12705711;conf/pdis/ColbyMW94
12705712;conf/icde/GuptaHRU97
12705713;journals/cacm/Lum70
12705714;conf/hpts/ONeil87
12705715;conf/vldb/LakshmiZ98
12705716;conf/sigmod/BernsteinB82
12705717;journals/tods/BunemanC79
12705718;journals/tods/BlakeleyCL89
12705719;journals/ijcis/BrachmanSTAHKL93
12705720;conf/icde/ChaudhuriKPS95
12705721;conf/vldb/CeriW91
12705722;conf/dbpl/DongLW95
12705723;conf/icdt/DongT92
12705724;conf/pods/Elkan90
12705725;journals/tods/GhandeharizadehHJ96
12705726;conf/vldb/GuptaHQ95
12705727;conf/edbt/GuptaJM96
12705728;conf/deductive/GuptaKM92
12705729;conf/sigmod/GriffinL95
12705730;journals/tkde/GriffinLT97
12705731;conf/sigmod/GuptaMR95
12705732;conf/sigmod/GuptaMS93
12705733;conf/deductive/HarrisonD92
12705734;conf/pods/JagadishMS95
12705735;conf/dood/Kuchenhoff91
12705736;conf/pods/LevyMSS95
12705737;conf/sigmod/LuMSS95
12705738;conf/vldb/LevyS93
12705739;conf/icde/MitschangPPLS93
12705740;conf/adc/MumickS93
12705741;conf/pods/MumickS94
12705742;phd/Mumick91
12705743;conf/ifip/NicolasY83
12705744;conf/pods/PatnaikI94
12705745;journals/tkde/QianW91
12705746;conf/pods/RajaramanSU95
12705747;journals/debu/RoussopoulosCKDP95
12705748;conf/sigmod/ShmueliI84
12705749;conf/vldb/UrpiO92
12705750;conf/sigmod/WolfsonDSY91
12705751;conf/coopis/ZhouHKF95
12705752;conf/sigmod/ZhugeGHW95
12705753;journals/cacm/LambLOW91
12705754;conf/vldb/LynchS88
12705755;journals/tois/Motro88
12705756;conf/sigir/SonnenbergerF95
12705757;conf/icde/AgrawalGS97
12705758;journals/jcss/FlajoletM85
12705759;conf/vldb/ShuklaDNR96
12705760;conf/sigmod/ZhaoDN97
12705761;conf/sigmod/BrinMS97
12705762;journals/tkde/ChenHY96
12705763;conf/aaai/HarrisHS92
12705764;conf/dac/KarypisAKS97
12705765;journals/tkde/Graefe94
12705766;conf/icde/GraefeM93
12705767;journals/computer/JagadishO89
12705768;conf/vldb/Jagadish90
12705769;conf/sigmod/Jagadish91
12705770;conf/sigmod/ColeG94
12705771;conf/edbt/GerlhofK94
12705772;conf/sigmod/KellerGM91
12705773;conf/icde/MehtaSD93
12705774;conf/vldb/Sarawagi95
12705775;journals/tkde/SellisG90
12705776;conf/vldb/SarawagiS96
12705777;conf/ssdbm/YuD97
12705778;www/org/w3/ql98
12705779;journals/computer/FlicknerSAHDGHLPSY95
12705780;conf/spieSR/BachFGHHHJS96
12705781;journals/sigmod/Kim94
12705782;books/mk/BancilhonDK92
12705783;conf/sigmod/McCarthyD89
12705784;conf/sigmod/Hanson92
12705785;journals/tkde/LitwinR92
12705786;conf/vldb/Risch89
12705787;conf/vldb/RosenthalCBB89
12705788;journals/toplas/PaigeK82
12705789;conf/sigmod/WidomF90
12705790;conf/sigmod/AchyutuniON96
12705791;conf/vldb/Omiecinski85
12705792;conf/icde/Omiecinski88
12705793;journals/is/Omiecinski89
12705794;conf/icde/OmiecinskiLS92
12705795;journals/tkde/OmiecinskiLS94
12705796;books/aw/BernsteinHG87
12705797;conf/pdis/MehrotraRKS91
12705798;conf/ride/MehrotraRKS92
12705799;conf/pods/RastogiMBKS93
12705800;journals/debu/Antoshenkov93
12705801;conf/icde/Aoki98
12705802;conf/vldb/BerchtoldKK96
12705803;journals/acta/BayerM72
12705804;journals/sigmod/BarbaraS97
12705805;journals/csur/Comer79
12705806;conf/vldb/DeWittNSS92
12705807;conf/trec/Dumais94
12705808;conf/ssd/EsterKX95
12705809;conf/kdd/EsterKSX96
12705810;journals/cj/ErnvallN82
12705811;journals/cacm/FoltzD92
12705812;journals/acta/FinkelB74
12705813;journals/ml/Fisher87
12705814;conf/sigmod/FaloutsosL95
12705815;journals/csur/GaedeG98
12705816;conf/vldb/GibbonsMP97
12705817;conf/ssdbm/Haas97
12705818;conf/pods/HellersteinKP97
12705819;journals/jcss/HaasNSS96
12705820;conf/sigmod/HouOT89
12705821;conf/icde/HaasS95
12705822;journals/tods/IoannidisC93
12705823;conf/sigmod/IoannidisP95
12705824;journals/debu/IoannidisP95
12705825;conf/kdd/JohnL96
12705826;conf/sigmod/KornJF97
12705827;conf/pods/KivinenM94
12705828;books/aw/Knuth73
12705829;journals/vldb/LinJF94
12705830;conf/sigmod/LiRS93
12705831;journals/csur/ManninoCS88
12705832;conf/dexa/OzsoyogluDTHR91
12705833;conf/icde/OlkenR92
12705834;conf/vldb/PoosalaI96
12705835;conf/vldb/PoosalaI97
12705836;conf/sigmod/PoosalaIHS96
12705837;phd/Poosala97
12705838;journals/tods/Scholl81
12705839;conf/edbt/SeshadriN92
12705840;journals/jacm/Willard91
12705841;conf/vldb/WangYM97
12705842;conf/pods/Fagin96
12705843;journals/datamine/GrayCBLRVPP97
12705844;conf/edbt/RabittiS90
12705845;journals/computer/OgleS95
12705846;journals/jacm/ReinwaldS66
12705847;conf/vldb/KemperMS92
12705848;conf/sigmod/KemperMPS94
12705849;conf/vldb/ChaudhuriS96
12705850;phd/Hellerstein95
12705851;conf/compcon/Bitton89
12705852;conf/vldb/BittonG88
12705853;conf/sigmetrics/ChenGKP90
12705854;conf/sigmetrics/ChenT91
12705855;conf/sigmod/CopelandK89
12705856;conf/vldb/DeWittGGHKM86
12705857;conf/vldb/GhandeharizadehD90
12705858;conf/ride/GolubchikLM92
12705859;conf/vldb/GrayHW90
12705860;conf/asplos/HollandG92
12705861;journals/dpd/HollandGS94
12705862;conf/icde/HsiaoD90
12705863;journals/tc/Kim86
12705864;conf/dpds/LakshmiY88
12705865;conf/asplos/LeeK91
12705866;conf/isca/MenonC93
12705867;conf/vldb/MuntzL90
12705868;conf/compcon/SchulzeKP89
12705869;conf/isca/StodolskyGH93
12705870;journals/debu/Stonebraker86
12705871;conf/icde/StonebrakerS90
12705872;conf/icde/YuD92
12705873;conf/edbt/BarbardG92
12705874;conf/dasfaa/Mazumdar93
12705875;conf/eds/Qian88
12705876;conf/vldb/SheardS85
12705877;conf/pods/StempleS84
12705878;conf/focs/AsanoA83
12705879;conf/ssd/BrinkhoffHKS93
12705880;conf/icde/BrinkhoffKS93
12705881;books/aw/Samet90
12705882;conf/icde/Weikum89
12705883;journals/tkde/CardenasITBB93
12705884;conf/vldb/ChuITB92
12705885;journals/jiis/ChuC92
12705886;journals/tse/JosephC88
12705887;conf/vldb/ChanI99
12705888;conf/edbt/GeffnerAA00
12705889;conf/icde/GeffnerAAS99
12705890;conf/sigmod/HoAMS97
12705891;conf/ride/AhmedADKLS93
12705892;journals/cacm/ChuCHY96
12705893;journals/jiis/ChuYCMCL96
12705894;conf/sigir/CallanLC95
12705895;journals/tods/ChakravarthyGM90
12705896;journals/tkde/ChangGP96
12705897;conf/vldb/FlorescuKLP97
12705898;journals/jiis/Garcia-MolinaPQRSUVW97
12705899;conf/vldb/GoldmanSVG98
12705900;conf/sigmod/GravanoCGP97
12705901;conf/vldb/GravanoG95
12705902;conf/vldb/GravanoG97
12705903;conf/sigmod/GravanoGT94
12705904;journals/debu/HaasKWY96
12705905;conf/pods/LevyRU96
12705906;conf/vldb/PapakonstantinouAG96
12705907;conf/icde/PapakonstantinouGU96
12705908;conf/dood/PapakonstantinouGGU95
12705909;conf/icdt/Ullman97
12705910;conf/vldb/VassalosP97
12705911;conf/trec/VoorheesGJ94
12705912;conf/dl/VoorheesT97
12705913;journals/computer/Wiederhold92
12705914;conf/sigmod/AikenWH92
12705915;conf/fmldo/FraternaliPT92
12705916;journals/tkde/FraternaliP97
12705917;conf/sigmod/CareyDNAGS97
12705918;conf/sigmod/CareyDN93
12705919;books/mk/Chamberlin96
12705920;conf/sigmod/CareyK97
12705921;journals/sigmod/KimballS95
12705922;journals/debu/GawlickK85
12705923;conf/sigmod/KleinU93
12705924;journals/tods/ONeil86
12705925;journals/cacm/DeWittG92
12705926;journals/debu/DeshpandeNRSTZ97
12705927;journals/debu/GuptaM95
12705928;conf/sigmod/ONeilQ97
12705929;journals/vldb/StonebrakerALPSSSY96
12705930;journals/jsc/AbadiM89
12705931;conf/vldb/CeriW93
12705932;journals/tse/LuckhamKAVBM95
12705933;journals/computer/RusinkiewiczSK91
12705934;journals/computer/SnodgrassA86
12705935;conf/icde/KaradimceU93
12705936;journals/tkde/UrbanD90
12705937;conf/sigmod/AcharyaPR99
12705938;books/mg/CormenLR89
12705939;books/fm/GareyJ79
12705940;conf/vldb/IoannidisP99
12705941;conf/vldb/JagadishKMPSS98
12705942;conf/icdt/MuthukrishnanPS99
12705943;conf/ssdbm/PoosalaG99
12705944;conf/icde/PoosalaG99
12705945;conf/cikm/VitterWI98
12705946;conf/sigmod/AbiteboulB91
12705947;conf/edbt/Bertino92
12705948;conf/jcdkb/Dayal88
12705949;journals/tse/DayalH84
12705950;books/wi/InmonK93
12705951;journals/csur/LitwinMR90
12705952;journals/csur/ShethL90
12705953;conf/sigmod/Wiederhold93
12705954;journals/computer/Conklin87
12705955;journals/epodd/Dodd90
12705956;journals/cacm/Halasz88
12705957;journals/debu/MuthRKN91
12705958;journals/ipm/SitterS92
12705959;conf/ht/StreitzHT89
12705960;conf/ht/Travers89
12705961;journals/cacm/Allen83
12705962;conf/ssd/ClementiniFO93
12705963;conf/vldb/EgenhoferF88
12705964;conf/ssd/EgenhoferS93
12705965;journals/tse/RoussopoulosFS88
12705966;conf/ssd/SvenssonH91
12705967;journals/tods/MarkowitzS92
12705968;conf/sigmod/SegevS87
12705969;conf/pods/Rotem89
12705970;conf/icde/Rotem91
12705971;conf/icde/MarkowitzS93
12705972;conf/ssdbm/MarkowitzLMOZ92
12705973;conf/icde/AbererF95
