:ID;series:string
12701336;Texts in Theoretical Computer Science. An EATCS Series
12701337;Lecture Notes in Business Information Processing
12701338;Lecture Notes in Social Networks
12701339;Logic, Epistemology, and the Unity of Science
12701340;Computational Imaging and Vision
12701341;Studies in Applied Philosophy, Epistemology and Rational Ethics
12701342;Studies in Classification, Data Analysis, and Knowledge Organization
12701343;Lecture Notes in Computational Science and Engineering
12701344;Computational Social Sciences
12701345;Advanced Series in Circuits and Systems
12701346;Series on Integrated Circuits and Systems
12701347;Integrated Circuits and Systems
12701348;X.media.press
12701349;Atlantis Studies in Computing
12701350;Springer Tracts in Advanced Robotics
12701351;Theory and Applications of Natural Language Processing
12701352;Lecture Notes in Networks and Systems
12701353;Artificial Intelligence: Foundations, Theory, and Algorithms
12701354;Lecture Notes in Geoinformation and Cartography
12701355;The Information Retrieval Series
12701356;The Kluwer International Series on Information Retrieval
12701357;The Springer International Series on Information Retrieval
12701358;Springer Briefs in Intelligent Systems
12701359;Cryptology and Information Security Series
12701360;Data-Centric Systems and Applications
12701361;Computational Biology
12701362;Studies in Health Technology and Informatics
12701363;Distinguished dissertations
12701364;GMD-Studien
12701365;Lecture notes in mathematics
12701366;Lehrbuch Informatik
12701367;ISFR series on systems science and engineering
12701368;Springer-Lehrbuch
12701369;Veröffentlichungen des Instituts für Bibliothekswissenschaft und Bibliothekarausbildung der Freien Universität Berlin
12701370;Wiley-Interscience series in discrete mathematics and optimization
12701371;McGraw-Hill Series in computer organization and architecture
12701372;Systems and control
12701373;Studies in Universal Logic
12701374;Advances in semiotics
12701375;Springer Lehrbuch Mathematik
12701376;Praktische Informatik
12701377;ACM Press Frontier Series
12701378;Chapman and Hall / CRC mathematical and computational biology series
12701379;GMD research series
12701380;Yourdon Press Computing series
12701381;Fundamentals of algorithms
12701382;Teubner Studienbücher
12701383;Advanced lectures in mathematics
12701384;Cambridge tracts in theoretical computer science
12701385;Oxford science publications
12701386;Encyclopedia of mathematics and its applications
12701387;DISKI
12701388;London Mathematical Society student texts
12701389;Technical report / University of Copenhagen / Datalogisk institut
12701390;Advances in design and control
12701391;Computer science and scientific computing
12701392;Theory in practice
12701393;Aksen Associates series in electrical and computer engineering
12701394;Wiley series in software design patterns
12701395;UTB Profile
12701396;Universitext
12701397;Informatik und Praxis
12701398;North-Holland mathematical library
12701399;Prentice Hall international series in computer science
12701400;Wiley-Interscience series in systems and optimization
12701401;Information Science and Knowledge Management
12701402;Data communications and networks series
12701403;Mobile communications series
12701404;Springer Briefs in Applied Sciences and Technology
12701405;Graduate texts in comtemporary physics
12701406;Informatik und Unternehmensführung
12701407;DISDBIS
12701408;Technical Report / University of Wisconsin, Madison / Computer Sciences Department
12701409;Atlantis Computational Intelligence Systems
12701410;Complex adaptive systems
12701411;Thomson's aktuelle Tutorien
12701412;DAIMI PB
12701413;Wiley series in communications networking and distributed systems
12701414;Applications of mathematics
12701415;Wirtschaftsinformatik
12701416;Undergraduate texts in computer science
12701417;Graduate texts in mathematics
12701418;O'Reilly digital studio
12701419;Technical report series
12701420;MIT Press series in the foundations of computing
12701421;Studies in computer science and artificial intelligence
12701422;SIAM monographs on discrete mathematics and applications
12701423;CD-I series
12701424;Cambridge monographs on applied and computational mathematics
12701425;Leitfäden der Informatik
12701426;Wiley series in agent technology
12701427;CSLI lecture notes series
12701428;Computer law series
12701429;Technical reports / University of Florida / Department of Computer and Information Science and Engineering / CISE
12701430;Classics in applied mathematics
12701431;Automated reasoning series
12701432;Prentice Hall International series in computer science
12701433;Neural network modeling and connectionism
12701434;The pragmatic programmers
12701435;McGraw-Hill Series in Information Processing and Computers
12701436;Graduate texts in computer science
12701437;Oxford Studies in Theoretical Linguistics
12701438;Leitfäden und Monographien der Informatik
12701439;Reihe Informatik
12701440;Datenbanksysteme
12701441;Computational science and engineering
12701442;Mathematics in Industry
12701443;Benjamin/Cummings series in object-oriented software engineering
12701444;Springer professional computing
12701445;Springers angewandte Informatik
12701446;Dover Books on Science
12701447;The Kluwer international series in engineering and computer science
12701448;Prentice Hall International Series in Computer Science
12701449;Knowledge and Information
12701450;Gabler Edition Wissenschaft
12701451;The Kluwer International Series in Engineering and Computer Science
12701452;Business Engineering
12701453;Classics in mathematics
12701454;Computational Synthesis and Creative Systems
12701455;Preprints Angewandte Mathematik und Informatik / Universität Münster / Angewandte Mathematik und Informatik
12701456;Minerva-Fachserie Naturwissenschaften
12701457;Pure and applied mathematics
12701458;Monographs in Visual Communication
12701459;Natural computing series
12701460;Advanced book classics
12701461;Java series
12701462;Student mathematical library
12701463;Scientific and engineering computation
12701464;Theory and decision library: series B
12701465;Human computer interaction
12701466;Morgan Kaufmann series in data management systems
12701467;MSRI Mathematical Circles Library
12701468;Software, environments, tools
12701469;The definitive guides to the X window system
12701470;UNIX easy
12701471;Forschungsbeiträge zur Wirtschaftsinformatik
12701472;Ontos Mathematical Logic
12701473;Worlwide series in computer cience
12701474;Interdisziplinäre Wissenschaft
12701475;VNR computer library
12701476;Springer series in perception engineering
12701477;Intelligent robotics and autonomous agents
12701478;Leitfäden der angewandten Informatik
12701479;Pure and applied mathematics series
12701480;Numerical analysis and scientific computation
12701481;Progress in theoretical computer science
12701482;Technology, Work and Globalization
12701483;Addison-Wesley professional computing series
12701484;Springer Series on Touch and Haptic Systems
12701485;ACM Press anthology series
12701486;Genetic algorithms and evolutionary computation
12701487;Berichte aus der Informatik
12701488;Statistics and computing
12701489;Fortschritt-Berichte VDI Reihe 3: Verfahrenstechnik
12701490;T-Labs Series in Telecommunication Services
12701491;Edition PAGE
12701492;Chapman and Hall Mathematics
12701493;Wiley professional computing
12701494;Hochschultexte Informatik
12701495;Memoirs of the American Mathematical Society
12701496;Linköping studies in science and technology thesis
12701497;xml.bibliothek
12701498;Research reports ESPRIT / project 6310, MMTCA
12701499;Addison-Wesley series in electrical and computer engineering
12701500;Progress in computer science and applied logic
12701501;J. Ranade Workstation series
12701502;Technical Report / University of Cambridge / Computer Laboratory
12701503;McGraw Hill series on computer communications
12701504;Texts in computing
12701505;O'Reilly Web Studio
12701506;Discrete mathematics and theoretical computer science
12701507;Programm angewandte Informatik
12701508;Oxford mathematical monographs
12701509;Applied discrete mathematics and theoretical computer science
12701510;CWI monographs
12701511;Hanser Studienbücher
12701512;ACM Press frontier series
12701513;Understanding language series
12701514;Practitioner series
12701515;Computerkultur
12701516;Angewandte Informatik
12701517;Algorithms and combinatorics
12701518;Schriften zur EDV-orientierten Betriebswirtschaft
12701519;Adobe developer library
12701520;notThenot Wadsworth series in management information series
12701521;Wiley series in probability and statistics
12701522;Product data engineering
12701523;Geschichte der verpaßten Gelegenheiten: Standort Deutschland
12701524;Computer science and data analysis series
12701525;Springers Lehrbücher der Informatik
12701526;IEEE Press series on computational intelligence
12701527;Handbuch der Informatik
12701528;A.P.I.C. Studies in data processing
12701529;Aachener Beiträge zur Informatik
12701530;Radon Series on Computational and Applied Mathematics
12701531;Aspen Casebook Series
12701532;Advanced studies in computer science
12701533;Studienführer im dtv
12701534;Technical report
12701535;Teubner-Texte zur Informatik
12701536;System software and software systems
12701537;Artificial intelligence
12701538;Springer Studium Mathematik - Bachelor
12701539;Studies in computational mathematics
12701540;Wiley series in probability and mathematical statistics
12701541;it : Informatik
12701542;The University series in mathematics
12701543;notThenot James Martin Books
12701544;North-Holland mathematics studies
12701545;The underground guide series
12701546;Algorithms and computation in mathematics
12701547;The Addison-Wesley signature series
12701548;SICS dissertation series
12701549;Informatik im Fokus
12701550;Advanced studies of computer science
12701551;Australian mathematical society lecture series
12701552;ACM monograph series
12701553;SICS research report
12701554;McGraw-Hill Series in Computer Science
12701555;Springer series in statistics
12701556;UQP nonfiction
12701557;Biometrie und medizinische Informatik : Greifswalder Seminarberichte
12701558;International series of monographs on computer science
12701559;Prentice Hall Signal Processing Series
12701560;Berliner Studienreihe zur Mathematik
12701561;Studies in logic : Mathematical logic and foundations
12701562;Santa Fe Institute Studies in the Sciences of Complexity
12701563;Technik, Wirtschaft und Politik
12701564;PC system architecture series
12701565;Athena scientific optimization and computation series
12701566;Wiley series in telecommunications and signal processing
12701567;Studies in proof theory
12701568;The Morgan Kaufmann series in interactive technologies
12701569;International computer science series
12701570;Synthesis lectures on digital circuits and systems
12701571;Principles of computer science series
12701572;O'Reillys Taschenbibliothek
12701573;International Series in Operations Research and Management Science
12701574;Mathematics and its applications
12701575;SEI series in software engineering
12701576;Machine intelligence and pattern recognition
12701577;Use R
12701578;Computational molecular biology
12701579;Springer undergraduate texts in mathematics and technology
12701580;Text, speech and language technology
12701581;Cambridge series in human-computer interaction
12701582;Schriftenreihe der Österreichischen Computer Gesellschaft
12701583;CST
12701584;MPS-SIAM series on optimization
12701585;BCS practitioner series
12701586;The virtual laboratory
12701587;Distinguished dissertations in computer science
12701588;UTCS publications
12701589;Chapman and Hall Computing Series
12701590;Research reports ESPRIT / project 5168, CACID
12701591;MIT Press series in computer systems
12701592;Addison-Wesley series in computer science
12701593;The Prentice Hall service technology series
12701594;Mathematical modeling and computation
12701595;BISS monographs
12701596;Analog Circuits and Signal Processing
12701597;Prentice-Hall international series in computer science
12701598;BPM Competence
12701599;Little book series
12701600;Advances in numerical mathematics
12701601;Yourdon Press Computing Series
